lead_id,company,offer_name,sku,monthly_fee,setup_fee,neteller_link,entry_diagnostic
NPI-1023102183,1801 SOUTHERN VISTA DENTAL CARE,AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1083197453,ABB DENTAL GROUP LLC,AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1104167261,"5-STAR CHIROPRACTIC, LTD.",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1124223672,A&B DENTAL PA,AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1386398154,ACUTE SPINE AND SPORTS THERAPY LLC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1417594755,A JUDGE DENTAL PC,AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1447723598,"28TH STREET MEDICAL GROUP, LLC",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1679206692,ABKSW CENTRAL TEXAS PREFERRED HEALTH PARTNERS PLLC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1730251083,24 IHIM LLC,AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1740014000,"HEARTPLACE, PLLC",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
NPI-1841598257,"A BRIGHT SMILE 4 KIDS, LLC",AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1902924772,"A.P. REEVES, DMD DENTAL CORPORATION",AI Front-Desk Overflow & Hygiene Recall Recovery Agent,AI-ASSISTANT-DENTAL-RECALL,1800.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=1800.00&currency=USD&item=AI-ASSISTANT-DENTAL-RECALL,Dormant Patient Revenue Leakage Calculation Audit
NPI-1922348242,"ADVANCED RESPIRATORY AND SLEEP MEDICINE, PLLC",AI Autonomous Operations & Inbound Intake Agent,AI-ASSISTANT-VIP-RETAINER,2000.0,1000.0,https://member.neteller.com/pay?email=abdelshafyclapps%40gmail.com&account=4599228811&amount=2000.00&currency=USD&item=AI-ASSISTANT-VIP-RETAINER,15-Minute Operational Workflow & Lead Leakage Audit
